game_uid, game_time, game_date, week, gold_red_side, gold_blue_side
67862_game_1,2025-05-18,WEEK7,31:12,RED,18,63.3k
67862_game_1,2025-05-18,WEEK7,31:12,BLUE,7,52.8k
